Date,Amount,Category,Description,Department,Urgency,Complexity,AutoApprove,Approver,ApproverName,ApproverPosition,SpendingLimit,RequireReceipt,ComplianceLimit
2023-07-08 13:41:38.689755,33.12,Marketing,Marketing expense on 2023-07-08,IT,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2024-01-11 13:41:38.689755,390.05,Training,Training expense on 2024-01-11,Finance,Low,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,300
2023-10-16 13:41:38.689755,152.71,Office Supplies,Office Supplies expense on 2023-10-16,HR,High,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,100
2023-07-04 13:41:38.689755,16.27,Marketing,Marketing expense on 2023-07-04,Finance,High,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2023-08-04 13:41:38.689755,336.48,Maintenance,Maintenance expense on 2023-08-04,Operations,Low,Low,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2023-12-02 13:41:38.689755,197.44,Equipment,Equipment expense on 2023-12-02,HR,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2023-08-14 13:41:38.689755,278.46,Software,Software expense on 2023-08-14,HR,High,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,200
2023-07-31 13:41:38.689755,172.82,Miscellaneous,Miscellaneous expense on 2023-07-31,Finance,Low,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,200
2023-07-07 13:41:38.689755,307.57,Marketing,Marketing expense on 2023-07-07,HR,Low,High,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2023-05-27 13:41:38.689755,228.73,Office Supplies,Office Supplies expense on 2023-05-27,Finance,Medium,High,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,100
2023-09-16 13:41:38.689755,414.71,Office Supplies,Office Supplies expense on 2023-09-16,Finance,Low,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,100
2024-04-20 13:41:38.689755,326.35,Meals,Meals expense on 2024-04-20,Finance,Low,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2023-07-28 13:41:38.689755,225.28,Software,Software expense on 2023-07-28,IT,Low,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,200
2024-04-25 13:41:38.689755,198.96,Maintenance,Maintenance expense on 2024-04-25,IT,High,Medium,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2024-01-06 13:41:38.689755,322.41,Marketing,Marketing expense on 2024-01-06,Operations,Medium,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2023-05-20 13:41:38.689755,41.81,Maintenance,Maintenance expense on 2023-05-20,Finance,Low,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2023-08-03 13:41:38.689755,53.24,Meals,Meals expense on 2023-08-03,IT,Medium,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2024-04-09 13:41:38.689755,114.6,Maintenance,Maintenance expense on 2024-04-09,HR,Low,High,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,500
2023-07-31 13:41:38.689755,262.84,Marketing,Marketing expense on 2023-07-31,IT,High,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2023-07-17 13:41:38.689755,35.68,Training,Training expense on 2023-07-17,HR,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,300
2023-10-01 13:41:38.689755,93.25,Maintenance,Maintenance expense on 2023-10-01,HR,Medium,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2023-12-23 13:41:38.689755,305.81,Wifi,Wifi expense on 2023-12-23,IT,Low,Medium,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2024-05-01 13:41:38.689755,130.11,Maintenance,Maintenance expense on 2024-05-01,Operations,Medium,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2024-05-05 13:41:38.689755,418.47,Office Supplies,Office Supplies expense on 2024-05-05,IT,High,High,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,100
2024-01-10 13:41:38.689755,351.55,Marketing,Marketing expense on 2024-01-10,IT,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2023-06-04 13:41:38.689755,381.48,Utilities,Utilities expense on 2023-06-04,Finance,Medium,High,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2023-09-24 13:41:38.689755,108.34,Training,Training expense on 2023-09-24,IT,High,High,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,300
2023-09-08 13:41:38.689755,432.78,Software,Software expense on 2023-09-08,HR,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,200
2023-09-21 13:41:38.689755,14.59,Meals,Meals expense on 2023-09-21,Operations,Low,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,50
2023-12-10 13:41:38.689755,256.1,Miscellaneous,Miscellaneous expense on 2023-12-10,Operations,Medium,Low,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2023-07-30 13:41:38.689755,31.87,Utilities,Utilities expense on 2023-07-30,Operations,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2024-02-03 13:41:38.689755,113.04,Miscellaneous,Miscellaneous expense on 2024-02-03,Finance,Medium,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2023-10-06 13:41:38.689755,342.41,Software,Software expense on 2023-10-06,IT,High,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,200
2024-03-27 13:41:38.689755,312.31,Meals,Meals expense on 2024-03-27,IT,High,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2024-03-19 13:41:38.689755,417.6,Wifi,Wifi expense on 2024-03-19,IT,High,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2023-05-14 13:41:38.689755,312.3,Utilities,Utilities expense on 2023-05-14,Finance,Medium,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2023-07-24 13:41:38.689755,242.48,Meals,Meals expense on 2023-07-24,Operations,High,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2023-09-18 13:41:38.689755,168.97,Software,Software expense on 2023-09-18,IT,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,200
2024-04-22 13:41:38.689755,273.31,Travel,Travel expense on 2024-04-22,Finance,High,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2023-11-28 13:41:38.689755,148.05,Office Supplies,Office Supplies expense on 2023-11-28,IT,High,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,100
2023-11-16 13:41:38.689755,389.46,Marketing,Marketing expense on 2023-11-16,IT,Low,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2023-08-27 13:41:38.689755,199.33,Software,Software expense on 2023-08-27,Finance,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,200
2023-08-13 13:41:38.689755,95.55,Office Supplies,Office Supplies expense on 2023-08-13,Finance,Medium,High,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,100
2023-11-22 13:41:38.689755,244.68,Software,Software expense on 2023-11-22,HR,Low,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,200
2023-12-21 13:41:38.689755,430.62,Training,Training expense on 2023-12-21,Finance,High,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,300
2023-09-06 13:41:38.689755,201.04,Miscellaneous,Miscellaneous expense on 2023-09-06,IT,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2023-10-27 13:41:38.689755,394.94,Meals,Meals expense on 2023-10-27,Operations,High,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2023-09-25 13:41:38.689755,398.93,Meals,Meals expense on 2023-09-25,IT,Low,High,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2023-07-22 13:41:38.689755,214.02,Training,Training expense on 2023-07-22,IT,High,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,300
2024-01-20 13:41:38.689755,434.43,Miscellaneous,Miscellaneous expense on 2024-01-20,HR,High,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2024-04-07 13:41:38.689755,444.46,Office Supplies,Office Supplies expense on 2024-04-07,IT,High,High,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,100
2024-01-12 13:41:38.689755,93.6,Miscellaneous,Miscellaneous expense on 2024-01-12,Finance,Medium,High,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2024-05-05 13:41:38.689755,364.03,Marketing,Marketing expense on 2024-05-05,Finance,Medium,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,1000
2023-11-06 13:41:38.689755,210.18,Maintenance,Maintenance expense on 2023-11-06,Finance,Medium,High,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,500
2023-10-15 13:41:38.689755,424.29,Maintenance,Maintenance expense on 2023-10-15,IT,Low,Medium,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2024-03-25 13:41:38.689755,320.7,Software,Software expense on 2024-03-25,IT,Medium,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,200
2024-02-25 13:41:38.689755,228.47,Equipment,Equipment expense on 2024-02-25,Finance,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2023-09-21 13:41:38.689755,265.92,Equipment,Equipment expense on 2023-09-21,Operations,Medium,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2023-08-18 13:41:38.689755,371.78,Office Supplies,Office Supplies expense on 2023-08-18,Finance,High,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,100
2024-01-28 13:41:38.689755,256.43,Utilities,Utilities expense on 2024-01-28,HR,High,Medium,True,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,False,200
2024-01-01 13:41:38.689755,194.94,Utilities,Utilities expense on 2024-01-01,IT,Medium,Low,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,200
2023-05-26 13:41:38.689755,210.2,Wifi,Wifi expense on 2023-05-26,Operations,High,Low,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,50
2023-10-24 13:41:38.689755,323.04,Travel,Travel expense on 2023-10-24,IT,Low,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,500
2023-08-11 13:41:38.689755,264.81,Equipment,Equipment expense on 2023-08-11,HR,Medium,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2024-01-12 13:41:38.689755,121.05,Utilities,Utilities expense on 2024-01-12,IT,High,Medium,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,False,200
2024-02-28 13:41:38.689755,211.15,Meals,Meals expense on 2024-02-28,HR,Low,Medium,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,50
2024-02-27 13:41:38.689755,82.2,Marketing,Marketing expense on 2024-02-27,HR,Low,Low,False,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,1000
2024-02-26 13:41:38.689755,267.15,Office Supplies,Office Supplies expense on 2024-02-26,Finance,Medium,Medium,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,100
2023-08-20 13:41:38.689755,149.85,Marketing,Marketing expense on 2023-08-20,HR,Low,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,1000
2023-08-02 13:41:38.689755,152.07,Marketing,Marketing expense on 2023-08-02,IT,Medium,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2023-10-06 13:41:38.689755,261.69,Marketing,Marketing expense on 2023-10-06,Operations,Medium,Low,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,1000
2023-11-21 13:41:38.689755,493.4,Travel,Travel expense on 2023-11-21,IT,Medium,Low,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,500
2023-11-18 13:41:38.689755,403.68,Equipment,Equipment expense on 2023-11-18,IT,High,Medium,False,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,1000
2024-03-31 13:41:38.689755,28.4,Travel,Travel expense on 2024-03-31,IT,Low,Medium,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,500
2023-08-15 13:41:38.689755,42.39,Wifi,Wifi expense on 2023-08-15,IT,Medium,Low,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,50
2024-01-16 13:41:38.689755,480.13,Software,Software expense on 2024-01-16,IT,Medium,High,False,"{'Name': 'David', 'Position': 'Manager'}",David,Manager,2500,True,200
2023-11-01 13:41:38.689755,96.34,Utilities,Utilities expense on 2023-11-01,HR,Medium,Medium,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,False,200
2023-12-26 13:41:38.689755,27.46,Training,Training expense on 2023-12-26,Operations,High,High,False,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,300
2023-05-25 13:41:38.689755,435.96,Maintenance,Maintenance expense on 2023-05-25,Finance,Medium,Low,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,True,500
2024-01-26 13:41:38.689755,189.33,Wifi,Wifi expense on 2024-01-26,Finance,Low,Medium,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,50
2023-11-27 13:41:38.689755,81.44,Training,Training expense on 2023-11-27,Operations,High,Medium,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,300
2024-04-04 13:41:38.689755,129.35,Maintenance,Maintenance expense on 2024-04-04,IT,Medium,High,True,"{'Name': 'Bob', 'Position': 'Supervisor'}",Bob,Supervisor,1500,True,500
2023-12-11 13:41:38.689755,268.61,Wifi,Wifi expense on 2023-12-11,HR,Medium,High,True,"{'Name': 'Eve', 'Position': 'Supervisor'}",Eve,Supervisor,3000,True,50
2023-05-13 13:41:38.689755,334.63,Equipment,Equipment expense on 2023-05-13,HR,High,Low,False,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,True,1000
2024-02-06 13:41:38.689755,343.08,Utilities,Utilities expense on 2024-02-06,IT,Low,High,True,"{'Name': 'Charlie', 'Position': 'Director'}",Charlie,Director,2000,False,200
2023-08-24 13:41:38.689755,236.76,Utilities,Utilities expense on 2023-08-24,HR,Low,Low,True,"{'Name': 'Alice', 'Position': 'Manager'}",Alice,Manager,1000,False,200
